Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #180,Mahou Shoujo Madoka★Magica,8.36,"Genres: Psychological, Drama, Magic, Thriller","Members 1,047,245",Type: TV,Episodes: 12,Licensors: Aniplex of America,Studios: Shaft,Source: Original,Duration: 24 min. per ep.,Premiered: Winter 2011,"Favorites: 44,624"
Ranked #181,Major S6,8.36,"Genres: Comedy, Drama, Shounen, Sports","Members 53,458",Type: TV,Episodes: 25,"Licensors: None found, add some",Studios: SynergySP,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2010,Favorites: 422
Ranked #182,Bakemonogatari,8.35,"Genres: Romance, Supernatural, Mystery, Vampire","Members 1,164,986",Type: TV,Episodes: 15,Licensors: Aniplex of America,Studios: Shaft,Source: Light novel,Duration: 24 min. per ep.,Premiered: Summer 2009,"Favorites: 42,346"
Ranked #183,Given,8.35,"Genres: Drama, Music, Romance, Shounen Ai, Slice of Life","Members 360,714",Type: TV,Episodes: 11,"Licensors: None found, add some",Studios: Lerche,Source: Manga,Duration: 22 min. per ep.,Premiered: Summer 2019,"Favorites: 11,512"
Ranked #184,Hotarubi no Mori e,8.35,"Genres: Drama, Romance, Shoujo, Supernatural","Members 640,917",Type: Movie,Episodes: 1,"Licensors: None found, add some",Studios: Brain's Base,Source: Manga,Duration: 45 min.,Null,"Favorites: 8,496"
Ranked #185,Katanagatari,8.35,"Genres: Action, Adventure, Historical, Martial Arts, Romance","Members 475,995",Type: TV,Episodes: 12,"Licensors: NIS America, Inc.",Studios: White Fox,Source: Light novel,Duration: 50 min. per ep.,Premiered: Winter 2010,"Favorites: 9,758"
Ranked #186,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Genres: Slice of Life, Demons, Supernatural, Drama, Shoujo","Members 66,911",Type: OVA,Episodes: 1,"Licensors: None found, add some",Studios: Brain's Base,Source: Manga,Duration: 23 min.,Null,Favorites: 92
Ranked #187,One Outs,8.35,"Genres: Sports, Psychological, Seinen","Members 195,991",Type: TV,Episodes: 25,"Licensors: None found, add some",Studios: Madhouse,Source: Manga,Duration: 23 min. per ep.,Premiered: Fall 2008,"Favorites: 3,380"
Ranked #188,Ookami to Koushinryou II,8.35,"Genres: Adventure, Historical, Romance, Fantasy","Members 418,166",Type: TV,Episodes: 12,Licensors: Funimation,"Studios: Brain's Base, Marvy Jack",Source: Light novel,Duration: 24 min. per ep.,Premiered: Summer 2009,"Favorites: 3,898"
Ranked #189,Romeo no Aoi Sora,8.35,"Genres: Adventure, Drama, Historical, Slice of Life","Members 40,069",Type: TV,Episodes: 33,"Licensors: None found, add some",Studios: Nippon Animation,Source: Novel,Duration: 23 min. per ep.,Premiered: Winter 1995,Favorites: 533
Ranked #190,Sakamichi no Apollon,8.34,"Genres: Drama, Josei, Music, Romance, School","Members 310,763",Type: TV,Episodes: 12,Licensors: Sentai Filmworks,"Studios: Tezuka Productions, MAPPA",Source: Manga,Duration: 22 min. per ep.,Premiered: Spring 2012,"Favorites: 5,998"
Ranked #191,Versailles no Bara,8.34,"Genres: Military, Historical, Drama, Romance, Shoujo","Members 74,509",Type: TV,Episodes: 40,"Licensors: Nozomi Entertainment, Discotek Media",Studios: Tokyo Movie Shinsha,Source: Manga,Duration: 24 min. per ep.,Premiered: Fall 1979,"Favorites: 2,297"
